sample	unit	fq1	fq2	condition
Ma01C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma01-C_S179_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma01-C_S179_R2.cor.fq.gz.P.qtrim.gz	C
Ma02C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma02-C_S189_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma02-C_S189_R2.cor.fq.gz.P.qtrim.gz	C
Ma03C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma03-C_S199_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma03-C_S199_R2.cor.fq.gz.P.qtrim.gz	C
Ma04C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma04-C_S209_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma04-C_S209_R2.cor.fq.gz.P.qtrim.gz	C
Ma07P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma07-P_S180_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma07-P_S180_R2.cor.fq.gz.P.qtrim.gz	P
Ma10P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma10-P_S190_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma10-P_S190_R2.cor.fq.gz.P.qtrim.gz	P
Ma11P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma11-P_S200_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma11-P_S200_R2.cor.fq.gz.P.qtrim.gz	P
Ma12P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma12-P_S210_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Ma12-P_S210_R2.cor.fq.gz.P.qtrim.gz	P
Mb01C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb01-C_S181_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb01-C_S181_R2.cor.fq.gz.P.qtrim.gz	C
Mb02C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb02-C_S191_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb02-C_S191_R2.cor.fq.gz.P.qtrim.gz	C
Mb03C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb03-C_S201_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb03-C_S201_R2.cor.fq.gz.P.qtrim.gz	C
Mb05C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb05-C_S211_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb05-C_S211_R2.cor.fq.gz.P.qtrim.gz	C
Mb08P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb08-P_S182_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb08-P_S182_R2.cor.fq.gz.P.qtrim.gz	P
Mb09P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb09-P_S192_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb09-P_S192_R2.cor.fq.gz.P.qtrim.gz	P
Mb10P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb10-P_S202_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb10-P_S202_R2.cor.fq.gz.P.qtrim.gz	P
Mb12P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb12-P_S212_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mb12-P_S212_R2.cor.fq.gz.P.qtrim.gz	P
Mc01C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc01-C_S183_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc01-C_S183_R2.cor.fq.gz.P.qtrim.gz	C
Mc02C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc02-C_S193_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc02-C_S193_R2.cor.fq.gz.P.qtrim.gz	C
Mc03C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc03-C_S203_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc03-C_S203_R2.cor.fq.gz.P.qtrim.gz	C
Mc04C	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc04-C_S213_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc04-C_S213_R2.cor.fq.gz.P.qtrim.gz	C
Mc08P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc08-P_S184_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc08-P_S184_R2.cor.fq.gz.P.qtrim.gz	P
Mc10P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc10-P_S194_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc10-P_S194_R2.cor.fq.gz.P.qtrim.gz	P
Mc11P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc11-P_S204_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc11-P_S204_R2.cor.fq.gz.P.qtrim.gz	P
Mc12P	L	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc12-P_S214_R1.cor.fq.gz.P.qtrim.gz	/home/ubuntu/data/2_Rcorrector/Rcorrected2/Rcorr_trinity/burbot-Mc12-P_S214_R2.cor.fq.gz.P.qtrim.gz	P
